Name,Office,Address,Telephone,,,,
A.C.S.L. LTD,HO,10 High StreetCH62 7HA,0151 346 1375,as.acs@btconnect.com, 0151 343 0756, http//www.ascl.org.uk,499397
AA LAW,HO,6B Skegness Business CentrePE25 3SJ,01754 896970,asadaziz@btinternet.com, 01754 896971, http//www.aasolicitors.org.uk,472813
AA LAW (LANCASHIRE) LTD,HO,3 Mill LaneBB2 2AU,0845 644 0786,aa_lawsolicitors@yahoo.co.uk, 0845 644 0601,,517122
AARON & PARTNERS LLP,HO,Grosvenor CourtCH1 1HG,01244 405555,simoncarter@aaronandpartners.com, 01244 405566, http//www.aaronandpartners.com,401104
AARON & PARTNERS LLP,BRN,Pall Mall CourtM2 4PD,0844 800 8346,operations@sra.org.uk, 0844 800 8347, http//www.aaronandpartners.com,462690
ABA LAW,HO,143 Ditchling RoadBN1 6JA,01273 564939,enquiries@aba-law.co.uk, 01273 564840, http//www.aba-law.co.uk,366698
ABA LAW,BRN,88 High StreetBN2 7HF,01273 309193,enquiries@aba-law.co.uk, 01273 308430, http//www.aba-law.co.uk,447522
ABA LAW SOLICITORS,HO,52-54 The DriveBN3 3PD,,rdbrearley@btinternet.com,, http//www.aba-law.co.uk,523440
ABBEY COURT SOLICITORS,HO,Unit 6BB7 9SP,01254  824 963,operations@sra.org.uk, 01254 822 206,,522664
ABBEY SOLICITORS,HO,Brighton HouseM14 5JQ,0161 835 9933,nadeem.ullah@abbeysolicitors.co.uk, 0161 839 5553, http//www.abbeysolicitors.co.uk,387568
ABBOT SMART OSIBANJO,HO,74 Camberwell Church StreetSE5 8QZ,0207 708 0077,operations@sra.org.uk, 0207 708 0770,,514016
ABBOTT FAHLBUSCH,HO,7-10 Adam StreetWC2N 6AA,0207 520 9070,jf@abbottlegal.com, 0207 520 9071, http//www.abbottlegal.com,331970
ABBOTT WALKER,HO,55 Dyer StreetGL7 2PP,01285 652555,help@abbottwalker.co.uk, 01285 885540, http//www.abbottwalker.co.uk,70157
ABBOUSHI ASSOCIATES,HO,18 Oakdene ParkN3 1EU,020 8343 4045,operations@sra.org.uk, 020 8346 1375,,77133
ABELS,HO,6 College PlaceSO15 2XL,023 8022 0317,enquiries@abels-solicitors.co.uk, 023 8033 5245, http//www.abels-solicitors.co.uk,45904
ABENSONS,HO,102 Allerton RoadL18 2DG,0151 733 3111,howellj@abensons.co.uk, 0151 733 8999, http//www.abensons.co.uk,45905
ABINGER STONE SOLICITORS,HO,Suite 29W6 9LZ,0203 371 7756,chris.shepherd@abingerstone.com, 0208 233 2958, http//www.abingerstone.com,488927
ABLITTS,HO,Unit 24SE26 5BW,020 8776 8783,mail@ablitts-solicitors.co.uk, 020 8776 5867, http//www.ablitts-solicitors.co.uk,62102
ABRAHAMS DRESDEN LLP,HO,111 Charterhouse StreetEC1M 6AW,020 7251 3663,law@ad-solicitors.co.uk, 020 7251 3773, http//www.ad-solicitors.co.uk,472281
ABRAMS COLLYER,HO,Twynham HouseSO41 9AL,01590 677888,law@abramscollyer.co.uk, 01590 673014, http//www.abramscollyer.co.uk,75783
ACCESS EMPLOYMENT LAW LIMITED,HO,4a Clifton SquareFY8 5JP,01253 731199,aj@accessemploymentlaw.co.uk, 01253 795 252, http//www.accessemploymentlaw.co.uk,402370
ACKLAM BOND NOOR SOLICITORS,HO,Equity ChambersBB5 1LY,01254 872272,operations@sra.org.uk, 01254 233370, http//www.acklambondnoor.com,69054
ACKLAM BOND NOOR SOLICITORS,BRN,2 Strawberry BankBB2 6AA,01254 56068,operations@sra.org.uk, 01254 677415, http//www.acklambondnoor.com,267551
ACKLAM BOND NOOR SOLICITORS,BRN,9 Leeds RoadWF12 7BB,01924 465 786,operations@sra.org.uk,, http//www.acklambondnoor.com,427447
ACS LAW,HO,20 Hanover SquareW1S 1HX,020 7898 0571,andrew.crossley@acs-law.co.uk, 020 7898 5072, http//www.acs-law.co.uk,513065
ACTONS,HO,20 Regent StreetNG1 5BQ,0115 9100 200,enquiries@actons.co.uk, 0115 9100 290, http//www.actons.co.uk,62882
ACUMEN BUSINESS LAW LIMITED,HO,Audley HouseBN3 2DE,08458 678 978,penina.shepherd@acumenbusinesslaw.co.uk, 08717 142 698, http//www.acumenbusinesslaw.co.uk,486654
AD LAW,HO,1 Regis RoadNW5 3EW,020 7428 3700,info@adlawonline.com, 020 7428 3701,,387797
ADAM COHEN PARTNERSHIP,HO,Eastwick FarmIP23 7DZ,01379 678000,adam@acpartnership.co.uk, 01379 678 002,,364866
ADAM F GREENHALGH & CO,HO,17 Mawdsley StreetBL1 1LE,01204 521067,isobelg@afglaw.co.uk, 01204 364 611, http//www.afglaw.co.uk/,50192
ADAM F GREENHALGH & CO,BRN,20 Mawdsley StreetBL1 1LF,01204 521067,isobelg@afglaw.co.uk, 01204 364611, http//www.afglaw.co.uk,50193
ADAMS & REMERS,HO,Trinity HouseBN7 2NN,01273 480616,judy.sutton@adams-remers.co.uk, 01273 480618, http//www.adams-remers.co.uk,45967
ADAMS & REMERS,BRN,35 High StreetBN2 7HE,01273 304441,judy.sutton@adams-remers.co.uk, 01273 301906, http//www.adams-remers.co.uk,45968
ADAMS HARRISON,HO,14-16 Church StreetCB10 1JW,01799 523441,enquiries@adams-harrison.co.uk, 01799 526130, http//www.adams-harrison.co.uk,70634
ADAMS HARRISON,BRN,52a High StreetCB9 8AR,01440 702485,enquiries@adams-harrison.co.uk, 01440 706820, http//www.adams-harrison.co.uk,70635
ADAMS HARRISON,BRN,43 High StreetCB22 3BG,01223 832939,enquiries@adams-harrison.co.uk, 01223 837310, http//www.adams-harrison.co.uk,508594
ADAMS SOLICITORS,HO,129 Mile End RoadE1 4BG,0207 790 2000,info@adamslaw.co.uk, 0207 791 1113, http//www.adamslaw.co.uk,75336
ADAMS SOLICITORS,BRN,33 Cavendish SquareW1G 0PW,020 7182 4500,operations@sra.org.uk, 020 7182 4114,,404774
ADDISON O'HARE,HO,Kelvin HouseWS1 1UL,01922 725515,mail@addisonohare.co.uk, 01922 616 998, http//www.addisonohare.co.uk,308976
ADDLESHAW GODDARD LLP,HO,Milton GateEC1Y 4AG,020 7606 8855,operations@sra.org.uk, 020 7606 4390, http//www.addleshawgoddard.com,440721
ADDLESHAW GODDARD LLP,BRN,100 Barbirolli SquareM2 3AB,0161 934 6000,operations@sra.org.uk, 0161 934 6060,,440725
ADDLESHAW GODDARD LLP,BRN,Sovereign HouseLS1 1HQ,0113 209 2000,operations@sra.org.uk, 0113 209 2060,,440726
ADDLESHAW GODDARD LLP,BRN,40 Lime StreetEC3M 7AW,0207 606 8855,operations@sra.org.uk, 020 7606 4390,,496593
ADDLESTONE KEANE SOLICITORS,HO,Carlton TowerLS1 2QB,0113 244 6700,brianaddlestone@aklaw.co.uk, 0113 244 6680,,75086
ADEL & HAQUE,HO,Lower GroundLS1 5QX,0113 2343560,qasim@adelhaque.com, 0113 245 4090, http//www.adelhaque.com,512704
ADIE O'REILLY LLP,HO,3 The LandingsLN1 2TU,01522 577088,info@adie-oreilly.com, 01522 577099, http//www.adie-oreilly.com,425575
ADLAMS LLP,HO,37b Market SquarePE19 2AR,01480 474061,info@adlams.co.uk, 01480 474959, http//www.adlams.co.uk,492416
ADLAMS LLP,BRN,St Johns HousePE29 3DP,0148 458885,info@adlams.co.uk, 01480 451817, http//www.adlams.co.uk,492417
ADLEX SOLICITORS,HO,76a Belsize LaneNW3 5BJ,020 7317 8404,adamt@adlexsolicitors.co.uk, 020 7317 8405, http//www.adlexsolicitors.co.uk,344672
ADRIAN STABLES,HO,Westover ChambersTA10 9RB,0845 873 6180,adrian@adrianstables.com, 0845 873 6181, http//www.adrianstables.com,174128
ADRIAN STICKLAND LIMITED,HO,Six WaysB24 8AA,0121 377 7773,operations@sra.org.uk, 0121 377 6621,,441825
ADVANCE LEGAL,HO,Imex Business ParkDE14 2AZ,01283 544 492,help@advancelegal.co.uk, 01283 537 720, http//www.advancelegal.co.uk,310156
AEGIS LEGAL LIMITED,HO,The AnnexeWA14 4DW,0161 927 3800,info@aegislegal.co.uk, 0161 927 3801, http//www.aegislegal.co.uk,519073
AEQUITAS LAW LIMITED LIABILITY PARTNERSHIP,HO,Flat 4W1K 3ND,0207 495 2776,operations@sra.org.uk, 0207 495 1005,,353041
AES WINTERBOTHAMS  LLP,HO,3-7 RowcroftGL5 3BJ,01453 847200,mail@aeswinterbothams.com, 01453 751997, http//www.aeswinterbothams.com,484891
AES WINTERBOTHAMS  LLP,BRN,StokescroftGL6 0DZ,01453 832566,mail@aeswinterbothams.com, 01453 835441, http//www.aeswinterbothams.com,495300
AEW LITIGATION SOLICITORS,HO,462 Chester Road NorthB73 6RG,0121 354 8640,andrewwylde@aewlitigation.co.uk, 0121 355 1169,,329132
AFA LAW,HO,20 Hillside RoadSM2 6ET,0208 6428967,akbar@akbarali.co.uk, 0208 6617182, http//www.afalaw.co.uk/,449365
AGI LEGAL SOLICITORS,HO,10 Market StreetBL9 0AJ,0161 761 3638,info@agisolicitors.co.uk,, http//www.agisolicitors.co.uk,519592
AHM LAW,HO,1st FloorKT6 5PT,0208 339 9195,info@ahmlaw.co.uk,,,495423
AHMADS' SOLICITORS,HO,Suite 38SW15 2PG,020 8788 1234,masood@ahmads-solicitors.com, 020 8788 1284, http//www.ahmads-solicitors.com,472390
AHMUD & CO SOLICITORS,HO,137-139 Brent StreetNW4 4DJ,020 8886 1111,operations@sra.org.uk, 020 8886 2244, http//www.ja-solicitors.com,407654
AI LAW LIMITED,HO,66 Chorley StreetBL1 4AL,01204 454344,mail@ailawltd.com, 01204 454342, http//www.ailawltd.com,446250
AISTON SOLICITORS,HO,43 Friends RoadCR0 1ED,020 8681 0123,enquiries@aistonsolicitors.co.uk, 020 8688 1629,,342757
AJ PRESTON SOLICITORS,HO,Centrix HouseWA12 9UY,01925 273150,alan.preston@ajpreston.co.uk, 01925 273151, http//www.ajpreston.co.uk,472812
AJAZ & ANDERSON,HO,41 St. Bartholomews RoadRG1 3QA,0118 966 1082,operations@sra.org.uk, 0118 966 1082, http//www.ajazandanderson.com,362350
AJR SOLICITORS,HO,Suita 19aDY6 9JS,0845 500 1201,nmd@arjsolicitors.com, 0845 500 1202, http//www.arjsolicitors.com,439578
AKAL  SOLICITORS,HO,23a York RoadIG1 3AD,020 8477 0280,akal_solicitors@btconnect.com, 020 8477 0281, http//www.akalsolicitors.co.uk,367081
AKIN & LAW LLP,HO,376 City RoadEC1V 2QA,0207 833 8828,law@ogun.com, 0207 713 7474, http//ogun.com,521473
AKIN GUMP STRAUSS HAUER & FELD,HO,Eighth FloorE1 6EG,+ 44 (0) 20 7012 9600,operations@sra.org.uk, + 44 (0) 20 7012 9601, http//www.akingump.com,267321
AKODU & CO SOLICITORS,HO,Britannia HouseW6 0LH,0845 470 0550,info@akodulaw.co.uk, 0845 4700551, http//www.akodulaw.co.uk,515499
AKP SOLICITORS LIMITED,HO,19 Plashet GroveE6 1AD,020 8472 4462,alberta@akpsolicitors.com, 020 8471 9731, http//www.akpsolicitors.com,488580
ALAN ASHLEY & CO,HO,36-38 Whitefriars StreetEC4Y 8BQ,020 7822 7482,mail@ashlaw.co.uk, 020 7583 3433,,258743
ALAN EDWARDS & CO,HO,192-196 Campden Hill RoadW8 7TH,020 7221 7644,reception@aelaw.co.uk, 020 7243 1076, http//www.aelaw.co.uk,49165
ALAN LOWE & CO,HO,Eaton MewsHP7 0DD,01494 787 598,alan.lowe@alan-lowe.co.uk, 01494 723 305, http//www.alan-lowe.co.uk,53427
ALAN ROBERTS,HO,H11ACH2 3NE,01244 348816,arobertssolicitor@seeyouincourt.co.uk, 01244 346653, http//www.alanrobertssolicitors.co.uk,54321
ALAN SMEATH & CO,HO,6 High StreetMK17 8RL,01908 584307,operations@sra.org.uk, 01908 585380,,55417
ALAN TAYLOR & CO,HO,14 Bowling Green LaneEC1R 0BD,020 7251 3222,info@alantaylorandco.com, 020 7251 6222,,56214
ALBINSON NAPIER & CO,HO,20 Bold StreetWA1 1HP,01925 634681,law@anlaw.co.uk, 01925 230253, http//www.albinson-napier.co.uk,46000
ALD LEGAL LIMITED,HO,First FloorHA1 2BQ,020 8869 0422,shital.shah@ald.legal.co.uk, 020 8869 0447,,469983
ALDERSON DODDS,HO,4-8 Stanley StreetNE24 2BU,01670 352293,aldersondodds@aldersondodds.co.uk, 01670 354166, http//www.aldersondodds.co.uk,61457
ALDERSON LEGAL,HO,1st FloorM1 3BE,0161 242 6859,operations@sra.org.uk, 0161 850 1020,,510445
ALDRIDGE BROWNLEE SOLICITORS LLP,HO,13 Christchurch RoadBH1 3JY,01202 294411,operations@sra.org.uk, 01202 295944, http//www.aldridgebrownlee.co.uk,484890
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,89 Wimborne RoadBH3 7AW,01202 526343,operations@sra.org.uk, 01202 530875, http//www.aldridgebrownlee.co.uk,484902
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,912 Wimborne RoadBH9 2DJ,01202 527008,operations@sra.org.uk, 01202 532848, http//www.aldridgebrownlee.co.uk,484903
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,277 Lymington RoadBH23 5EB,01425 282150,operations@sra.org.uk, 01425 282110,,484916
ALEN-BUCKLEY & CO,HO,2-4 Bennet CourtSW17 7EG,020 8767 8336,general@alen-buckley.co.uk, 020 8767 1241, http//www.alen.buckley.co.uk,76486
ALEXANDER & CO,HO,56 Friar GateDE1 1DF,01332 600005,enquiries@alexanderandcosolicitors.co.uk, 01332 600010, http//www.alexanderandcosolicitors.co.uk,62811
ALEXANDER & CO,BRN,2 Chapel StreetDE21 7JP,01332 600011,enquiries@alxeanderandcosolicitors.co.uk, 01332 600010, http//www.alexanderandcosolicitors.co.uk,62812
ALEXANDER & PARTNERS,HO,28 Craven Park RoadNW10 4AB,020 8965 7121,mail.alexander@btconnect.com, 020 8965 1524,,46020
ALEXANDER HAIGH & CO,HO,10 Queens RoadCM14 4HE,01277 216320,markhaigh10@hotmail.com, 01277 200910,,370892
ALEXANDER JLO,HO,11 Lanark SquareE14 9RE,020 7537 7000,info@london-law.co.uk, 0207 538 2442, http//www.london-law.co.uk,258699
ALEXANDER JLO,BRN,138-148 Cambridge Heath RoadE1 5QJ,020 7791 3600,info@london-law.co.uk, 020 7790 5865, http//www.london-law.co.uk,345120
ALEXANDER JLO,BRN,7a The BroadwayE4 9QL,0208 527 3401,operations@sra.org.uk, 0208 527 6196,,420822
ALEXANDER JLO,BRN,Second FloorE14 9GL,020 7531 8820,operations@sra.org.uk, 020 7531 8830,,471764
ALEXANDER MARKS LLP,HO,55 Queen Anne StreetW1G 9JR,020 7317 1166,cavi@amlaw.co.uk, 020 7224 1474, http//www.amlaw.co.uk,445226
ALEXANDER PAUL,HO,Portia HouseEX16 6AH,01884 252361,peterbuechel@alexanderpaul.com, 01884 253461, http//www.alexanderpaul.com,328962
ALEXANDER SOLICITORS LIMITED,HO,80 Dunstable RoadLU1 1EH,01582 727 888,legal@alexandersolicitors.co.uk, 01582 728 004, http//www.alexandersolicitors.co.uk,512539
ALFRED NEWTON & CO,HO,49-51 Wellington Road SouthSK1 3RX,0161 480 1245,mail@alfrednewton.com, 0161 429 9316, http//www.alfrednewton.com,58753
ALFRED NEWTON & CO,BRN,32 Alderley RoadSK9 1JX,01625 523647,operations@sra.org.uk, 01625 522068,,58754
ALFRED NEWTON & CO,BRN,231 George LaneSK6 1DJ,0161 430 8831,operations@sra.org.uk, 0161 430 6636,,58755
ALFRED TRUMAN,HO,5 Sheep StreetOX26 6JB,01869 252761,alfred@trumans.co.uk, 01869 246619, http//www.alfredtrumansolicitors.com,56768
ALISON TRENT & CO,HO,149 Fleet StreetEC4A 3DL,0207 583 3350,alison@alisontrent.co.uk, 020 7353 6618,,69693
ALISTAIRS,HO,30 Mount Hill RoadBS15 8QX,01179 613 952,operations@sra.org.uk,,,401473
ALKER & BALL,HO,29-33 King StreetWN1 1EG,01942 246241,operations@sra.org.uk, 01942 820086,,46030
ALLAN JANES LLP,HO,21-23 Easton StreetHP11 1NT,01494 521301,enquiries@allanjanes.com, 01494 442315, http//www.allanjanes.com,400163
ALLEN & OVERY LLP,HO,One Bishops SquareE1 6AD,0203 088 0000,operations@sra.org.uk, 0203 088 0088,,401323
ALLEN & OVERY LLP,BRN,40 Bank StreetE14 5DU,020 3088 0000,operations@sra.org.uk, 020 3088 0088,,402513
ALLEN BARFIELDS,HO,Gainesford HouseBR4 0PX,020 8776 1010,allen@mballen.co.uk, 020 8777 9027, http//www.mballen.co.uk,46048
ALLEN CRYSTAL REEF LTD,HO,3rd FloorWC1H 9BB,0207 554 8760,milanpatel@allencrystalreef.co.uk, 0207 554 8762, http//www.allencrystalreef.co.uk,496835
ALLETSONS,HO,31 College StreetTA8 1AS,01278 780151,info@alletsons.com, 01278 781004, http//www.alletsons.com,63740
ALLETSONS LIMITED,HO,8 Castle StreetTA6 3DB,01278 456621,info@alletsons.co.uk, 01278 452494, http//www.alletsons.co.uk,485301
ALLIANCE SOLICITORS,HO,595 Kenton RoadHA3 9RT,020 8206 3530,pp@alliance-solicitors.com, 020 8204 4972, http//www.alliance-solicitors.com,420328
ALLINGTON HUGHES,BRN,Newgate WalkCH1 1JU,01244 312166,enquiries@allingtonhughes.co.uk, 01244 348876, http//www.allingtonhughes.co.uk,46081
ALLISON & REILLY SOLICITORS,HO,Trident HouseL2 2HF,0151 283 4646,operations@sra.org.uk, 0151 283 3373,,417484
ALLISON & REILLY SOLICITORS,BRN,Argyle HouseM24 1AE,,operations@sra.org.uk,,,419262
ALLSOPP & CO INCORPORATING AJ SALISBURY & CO,HO,42a Poplar RoadB91 3AB,0121 705 9020,ppty@allsoppandco.co.uk, 0121 711 1019, http//www.allsoppandco.co.uk,46088
ALLSOPP & CO INCORPORATING AJ SALISBURY & CO,BRN,King Edward HouseB91 3TB,0121 704 4282,liti@allsoppandco.co.uk, 0121 711 2087, http//www.allsoppandco.co.uk,390188
ALLWEIS & CO,HO,64 Leicester RoadM7 4AR,0161 950 8213,jallweis@aol.com, 0161 950 8177,,267597
ALPHA LEXIS LAW FIRM,HO,Boundary HouseWD6 3JP,0845 194 7340,info@alphalexislaw.co.uk, 0845 194 7341, http//www.alphalexislaw.co.uk,508435
ALPHA LEXIS LAW FIRM,BRN,22 Durban Road EastWD18 0RN,0845 194 7340,info@alphalexislaw.co.uk, 0845 194 7341, http//www.alphalexislaw.co.uk,533904
ALSTERS KELLEY,HO,Hamilton HouseCV32 4LY,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0299, http//www.alsterskelley.com,70372
ALSTON ASHBY,BRN,25 Military RoadME4 4JG,01634 842017,email@alstonashby.com, 01634 811036, http//www.AlstonAshby.co.uk,260999
ALTERMANS,HO,233 Regents Park RoadN3 3LF,020 8346 1777,info@altermans.co.uk, 020 8346 2776, http//www.altermans.co.uk,370380
AMAN SOLICITORS ADVOCATES (LONDON) LTD,HO,295 Harrow RoadHA9 6BD,0208 782 3776,operations@sra.org.uk, 0208 782 3778, http//www.amansolicitors.co.uk,463069
AMANDA SHAW SOLICITORS,HO,1 Mill LaneRH13 8JU,01403 710 742,amanda@amandashaw.co.uk, 01403 713 081, http//www.amandashaw.co.uk,524628
AMBROSE APPELBE,HO,7 New SquareWC2A 3RA,020 7242 7000,mailbox@ambrose.appelbe.co.uk, 020 7242 0268, http//www.ambrose.appelbe.co.uk,191153
AMD SOLICITORS LIMITED,HO,100 Henleaze RoadBS9 4JZ,01179 621 205,admin@amdsolicitors.com, 01179 621 961, http//www.amdsolicitors.com,386560
AMIRTHAN & SURESH SOLICITORS,HO,150a Ealing RoadHA0 4PY,020 8903 7211,amirthanandsuresh@hotmail.co.uk, 020 8795 4056,,76329
AMS SOLICITORS LIMITED,HO,WentworthPR2 9LF,01772 653 333,ars@amssolicitors.co.uk, 01772 653 443, http//www.amssolicitors.co.uk,498537
ANA KANELLOS FURLONG SOLICITOR,HO,29 Lansdowne GardensSW8 2EQ,0207 627 8131,Anakanellos@me.com, 0207 627 8131,,344505
ANAMI LAW,HO,Griffins Wood HouseCM16 5HT,01992 579 413,info@anami-law.eu, 01992 579 513, http//www.anami-law.eu,447457
ANAMI LAW INCOPORATING HUGHES & CO,BRN,186 Hutton RoadCM15 8NR,01277 226644,operations@sra.org.uk, 01277 224228,,470382
ANAMI LAW INCOPORATING KIRKWOODS,BRN,51 High RoadWD23 1EE,020 8950 1155,operations@sra.org.uk,,,519521
ANDERSON & COMPANY,HO,76 Wallingford RoadOX10 7EU,01865 858 878,enquiries@andersonsolicitors.com, 01865 858 900, http//www.andersonsolicitors.com,78909
ANDERSON CASTLE & CO LIMITED,HO,13 - 14 Old SquareWC2A 3UE,020 7831 4445,janiecastle@13oldsquare.com, 020 7841 5825,,472328
ANDERSON FIDLER,HO,Lincoln HouseEN3 4AH,020 8804 6596,operations@sra.org.uk, 020 8804 6528,,330441
ANDERSON PARTNERSHIP,HO,71 SaltergateS40 1JS,01246 220737,law@andersonslaw.co.uk, 01246 221081, http//www.andersonslaw.co.uk,75688
ANDERSONS (INCORPORATING STEPHEN WEBB & CO),HO,9A Cross StreetIP23 7AB,01379 873510,mga@andersonlaw.co.uk, 01379 873511,,384569
ANDERSONS SOLICITORS,HO,Regent HouseHG1 1JX,01423 527852,andersons-sol@btconnect.com, 01423 527 677,,71696
ANDREW & ANDREW LLP,HO,Atlantic HousePO2 8AL,023 9267 5555,office@a2law.co.uk, 023 9267 5507, http//www.a2law.co.uk,472074
ANDREW & CO LLP,HO,1 Flavian RoadLN2 4GR,01522 512123,info@andrew-solicitors.co.uk, 01522 518 913, http//www.andrew-solicitors.co.uk,470433
ANDREW & CO LLP,BRN,33 Kirk GateNG24 1AD,01636 673743,armitage@andrew-solicitors.co.uk, 01636 705506, http//www.andrew-solicitors.co.uk,470450
ANDREW & MONROE SOLICITORS,HO,Flat 41  Flagon CourtCR0 1BU,020 8686 5862,info@amdrewsmonroe.co.uk, 0871 900 4422, http//www.andrewmonroe.co.uk,489238
ANDREW BODDY SOLICITORS,HO,The Old Fire StationNN14 6HZ,01536 714900,andy@andrewboddysolicitors.com, 01536 418920, http//www.andrewboddysolicitors.com,328678
ANDREW BRYCE & CO,HO,Unit 23 Cambridge Science ParkCB4 0EY,01223 437011,bryce@ehslaw.co.uk, 01223 437012,,79748
ANDREW BURN SOLICITOR,HO,WoodlandsDY9 0UL,01384 826361,andrew-burn@virginmedia.com, 01384 826498,,367177
ANDREW C BLUNDY SOLICITORS,HO,13 Nelson RoadSE10 9JB,020 8293 3633,administrator@andrewcblundy.co.uk, 020 8853 2050, http//www.andrewcblundy.co.uk,184771
ANDREW HOLLAND LAW LIMITED,HO,Suite 1 The BakeryBD20 6RB,01535 658274,mail@andrewhollandlaw.co.uk, 01535 655120, http//www.andrewhollandlaw.co.uk,389025
ANDREW JACKSON,HO,Essex HouseHU1 1XH,01482 325242,rob.penrose@andrewjackson.co.uk, 01482 212974, http//www.andrewjackson.co.uk,51781
ANDREW KINGSTON & CO,HO,Suite 17 Friary ChambersHU1 2HA,1482216217,akingston@andrewkingston.co.uk,1482216218, http//www.andrewkingston.co.uk,405166
ANDREW SUTTON LIMITED,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651,mailbox@abg-law.com, 0115 947 5244, http//www.abg-law.com,518217
ANDREW TOBIAS & CO SOLICITORS,HO,53 Paddington StreetW1U 4HT,020  7935 8399,law@andrewtobias.co.uk, 020 7935 8599, http//www.andrewtobias.co.uk,419448
ANDREWS LAW LIMITED,HO,Suite 7WV15 5BA,01746 769 700,rob@andrewslaw.co.uk,  01746 769 690, http//www.andrewslaw.co.uk,517710
ANGEL & CO,HO,1 Green StreetW1K 6RG,020 7495 0555,mail@legalangel-uk.com, 020 7495 7550, http//www.legalangel-uk.com,77111
ANSONS LLP,BRN,Commerce HouseWS11 7FJ,01543 466660,operations@sra.org.uk, 01543 571682, http//www.ansonsllp.com,401971
ANTHONY COLLINS SOLICITORS LLP,HO,134 Edmund StreetB3 2ES,0121 200 3242,operations@sra.org.uk, 0121 212 7442, http//www.anthonycollins.com,424137
ANTHONY GOLD,BRN,Lloyds Bank ChambersSW16 1BG,0207 9404000,mail@anthonygold.co.uk, 020 8664 6484, http//www.anthonygold.co.uk,383668
ANTHONY GOLD INCORPORATING JOCKELSON MCNULTY & CO,BRN,169 Walworth RoadSE17 1RW,0207 9404000,mail@anthonygold.co.uk, 0207 708313, http//www.anthonygold.co.uk,386552
ANTHONY GOLD SOLICITORS INCORPORATING WALLACE & CO,HO,53 Tooley StreetSE1 2QN,020 7940 4000,mail@anthonygold.co.uk, 020 7378 8025, http//www.anthonygold.co.uk,48050
ANTHONY JAYES LLP,HO,Universal HouseW1T 7JY,0207 291 9110,operations@sra.org.uk, 0207 291 9120,,499528
ANTHONY KING & CO,HO,Southgate HouseSS14 1BN,01268 240 400,jcowdrey@anthonyking.co.uk, 01268 240424, http//www.anthonyking.co.uk,70686
ANTHONY LEONARD ASSOCIATES,HO,Airport HouseCR0 0XZ,020 8288 3548,info@anthonyleonard.co.uk, 020 8288 3549, http//www.anthonyleonard.co.uk,192533
