A ZEB KHAN SOLICITORS,HO,19 Washwood Heath RoadB8 1SH,0121 327 5999,azk2@blueyonder.co.uk, 0121 327 5999,,369473
A-Z LAW SOLICITORS,HO,198-200 Balham High RoadSW12 9BP,020 8355 0830,operations@sra.org.uk, 020 8355 0831,,353524
A2 SOLICITORS,HO,Southbank HouseSE1 7SJ,020 7793 4118,A2Solicitors@AOL.Com, 020 8203 1949,,364505
AA & CO SOLICITORS,HO,60A Plumstead High StreetSE18 1SL,0208 317 3333,aa@aasolicitors.com, 0208 317 3330,: http://www.aasolicitors.com,469427
AA LAW,HO,6B Skegness Business CentrePE25 3SJ,01754 896970,asadaziz@btinternet.com, 01754 896971,: http://www.aasolicitors.org.uk,472813
AADAMSONS SOLICITORS,HO,122 St. Georges RoadBL1 2BY,,aadamsons@live.co.uk,,,521103
AARON & PARTNERS LLP,HO,Grosvenor CourtCH1 1HG,01244 405555,simoncarter@aaronandpartners.com, 01244 405566,: http://www.aaronandpartners.com,401104
AASKELLS SOLICITORS & ADVOCATES,HO,43-45 Chase SideN14 5BP,0208 920 2400,info@aaskellsolicitors.com, 0208 920 2450,: http://www.askellsolicitors.com,518204
ABBEY LAW,HO,127 Horninglow StreetDE14 1PJ,01283 539718,abbeylawsolicitors@yahoo.co.uk, 01283 539717,,442477
ABBEY SOLICITORS,HO,Brighton HouseM14 5JQ,0161 835 9933,nadeem.ullah@abbeysolicitors.co.uk, 0161 839 5553,: http://www.abbeysolicitors.co.uk,387568
ABBOT SMART OSIBANJO,HO,74 Camberwell Church StreetSE5 8QZ,0207 708 0077,operations@sra.org.uk, 0207 708 0770,,514016
ABBOTT FORBES SOLICITORS,HO,Keeble CourtOX4 1JS,01865 794 855,help@afslaw.co.uk, 01865 741 309,,388405
ABELS,HO,6 College PlaceSO15 2XL,023 8022 0317,enquiries@abels-solicitors.co.uk, 023 8033 5245,: http://www.abels-solicitors.co.uk,45904
ABENSONS,HO,102 Allerton RoadL18 2DG,0151 733 3111,howellj@abensons.co.uk, 0151 733 8999,: http://www.abensons.co.uk,45905
ABRAHAMSON & ASSOCIATES(INC FRANCIS & SOLOMONS),HO,10a North End RoadNW11 7PH,020 8458 1100,barry@abrahamsons.co.uk, 020 8458 1588,: http://www.abrahamsons.co.uk,48568
ABSOLUTE LAW LTD,HO,15 Broadway MarketE8 4PH,0207 812 9222,info@absolutelaw.co.uk, 0207 812 9359,: http://www.absolutelaw.co.uk,464392
ABSOLUTE LAW LTD,BRN,10 Fitzwilliam RoadS65 1PT,0207 812 9222,info@absolutelaw.co.uk, 01709 326155,: http://www.absolutelaw.co.uk,515991
ABV SOLICITORS,HO,Kingshott Business CentreUB3 1AN,0844 587 9996,admin@abvsolicitors.co.uk, 0844 587 9998,: http://www.abvsolicitors.co.uk,428689
ACA LAW LTD,HO,32 Junction RoadN19 5RE,0207 272 3330,lawyers@punatar.biz, 0207 272 3331,,508441
ACA LAW LTD,BRN,46 Camden RoadNW1 9DR,0207 272 3330,lawyers@punatar.biz, 0207 272 3331,: http://www.punatar.biz,512711
ACA LAW LTD,BRN,Suit 210E1 8EW,0207 173 6111,lawyers@punatar.biz, 0207 173 6115,,512717
ACCIDENT INJURY SOLICITORS,HO,Second FloorPR1 1NT,01772 841990,operations@sra.org.uk, 01204 651155,,404178
ACHILLEA & CO,HO,Markfield HouseE4 7BJ,020 8529 8555,aki@achillealaw.net, 020 8529 8383,: http://www.achillealaw.net,303060
ACKERS CLAYTON REEVE SOLICITORS,HO,9 Church StreetRG10 9DN,0118 982 8800,info@ackersclaytonreeve.co.uk, 0118 982 8801,: http://www.ackersclaytonreeve.co.uk,446615
ACKERS CLAYTON REEVE SOLICITORS,BRN,34a Queen StreetSL6 1HZ,01628 622300,info@ackersclaytonreeve.co.uk, 01628 622455,: http://www.ackersclaytonreeve.co.uk,446616
ACKLAM BOND NOOR SOLICITORS,HO,Equity ChambersBB5 1LY,01254 872272,operations@sra.org.uk, 01254 233370,: http://www.acklambondnoor.com,69054
ACKLAM BOND NOOR SOLICITORS,BRN,2 Strawberry BankBB2 6AA,01254 56068,operations@sra.org.uk, 01254 677415,: http://www.acklambondnoor.com,267551
ACKLAM BOND NOOR SOLICITORS,BRN,9 Leeds RoadWF12 7BB,01924 465 786,operations@sra.org.uk,,: http://www.acklambondnoor.com,427447
ACT (NORFOLK) LLP,HO,St. Johns HouseNR2 1DN,01603 610611,info@actsolicitors.co.uk, 01603 230574,: http://www.actsolicitors.co.uk,348985
ACT (NORFOLK) LLP,BRN,2 White Hart StreetIP24 1AD,01842 765577,info@actsolicitors.co.uk, 01842 764028,: http://www.actsolicitors.co.uk,348986
ADAM DOUGLAS & SON,HO,Market PlaceNE66 1HP,01665 602363,nl@adamdouglas.co.uk, 01665 510079,: http://www.adamdouglas.co.uk,45943
ADAM DOUGLAS & SON,BRN,49-51 Bridge StreetTD15 1ES,01289 306479,hja@adamdouglas.co.uk, 01289 330246,: http://www.adamdouglas.co.uk,45945
ADAM DOUGLAS & SON,BRN,73 Queen StreetNE65 0DA,01665 710744,operations@sra.org.uk, 01665 713089,: http://www.adamdouglas.co.uk,302149
ADAM F GREENHALGH & CO,HO,17 Mawdsley StreetBL1 1LE,01204 521067,isobelg@afglaw.co.uk, 01204 364 611,: http://www.afglaw.co.uk/,50192
ADAM F GREENHALGH & CO,BRN,20 Mawdsley StreetBL1 1LF,01204 521067,isobelg@afglaw.co.uk, 01204 364611,: http://www.afglaw.co.uk,50193
ADAM WALKER & CO,HO,PO Box 244LS29 1AU,07904 978879,operations@sra.org.uk, 01274 347308,: http://www.adamwalkerandco.co.uk,495327
ADAMS BURROWS,HO,34 Broad StreetBS16 5NS,0117 970 2240,timadams@adamsburrows.co.uk, 0117 970 2216,,80035
ADAMS DELMAR,HO,56 Ashley RoadTW12 2HU,020 8941 2097,sols@adamsdelmar.co.uk, 020 8979 4051,: http://www.adamsdelmar.co.uk,67265
ADAMS HARRISON,HO,14-16 Church StreetCB10 1JW,01799 523441,enquiries@adams-harrison.co.uk, 01799 526130,: http://www.adams-harrison.co.uk,70634
ADAMS HARRISON,BRN,52a High StreetCB9 8AR,01440 702485,enquiries@adams-harrison.co.uk, 01440 706820,: http://www.adams-harrison.co.uk,70635
ADAMS HARRISON,BRN,43 High StreetCB22 3BG,01223 832939,enquiries@adams-harrison.co.uk, 01223 837310,: http://www.adams-harrison.co.uk,508594
ADAMS HETHERINGTON,HO,SuiteNE23 6QW,01670 714622,adamsheth-cram@btconnect.com, 01670 739169,: http://www.adamshetherington.co.uk,73946
ADAMS HETHERINGTON,BRN,15 Laburnum TerraceNE63 0XX,01670 850 520,adamsheth.ash@btconnect.com, 01670 522 492,: http://www.adamshetherington.co.uk,73947
ADAMS SOLICITORS,HO,129 Mile End RoadE1 4BG,0207 790 2000,info@adamslaw.co.uk, 0207 791 1113,: http://www.adamslaw.co.uk,75336
ADAMS SOLICITORS,BRN,33 Cavendish SquareW1G 0PW,020 7182 4500,operations@sra.org.uk, 020 7182 4114,,404774
ADAN & CO SOLICITORS LIMITED,BRN,Unit 10ME16 0DZ,01622 600488,matthew@adanandco.com, 01622 677 477,: http://www.adanandco.com,449722
ADDISON O'HARE,HO,Kelvin HouseWS1 1UL,01922 725515,mail@addisonohare.co.uk, 01922 616 998,: http://www.addisonohare.co.uk,308976
ADDLESHAW GODDARD LLP,HO,Milton GateEC1Y 4AG,020 7606 8855,operations@sra.org.uk, 020 7606 4390,: http://www.addleshawgoddard.com,440721
ADDLESHAW GODDARD LLP,BRN,100 Barbirolli SquareM2 3AB,0161 934 6000,operations@sra.org.uk, 0161 934 6060,,440725
ADDLESHAW GODDARD LLP,BRN,Sovereign HouseLS1 1HQ,0113 209 2000,operations@sra.org.uk, 0113 209 2060,,440726
ADDLESHAW GODDARD LLP,BRN,40 Lime StreetEC3M 7AW,0207 606 8855,operations@sra.org.uk, 020 7606 4390,,496593
ADEL JIBS & CO SOLICITORS,HO,517b Hertford RoadEN3 5UA,0203 417 3859,info@adejibssolicitors.co.uk, 0203 417 3859,,519354
ADESEMOWO & CO,HO,Unit 15  Blackheath Bus.CentreSE10 8BA,2086929700,solicitors@adelaw.com,2086921130,: http://www.adelaw.com,323996
ADH LAW,HO,1a Turnpike ParadeN15 3LA,0203 240 1010,operations@sra.org.uk, 0203 240 1011,,427398
ADL SOLICITORS LIMITED,HO,Kent HouseHX1 2EF,01422 339994,yasin.din@adl-solicitors.co.uk, 01422 383665,: http://www.adl-solicitors.co.uk,440542
ADLAMS LLP,HO,37b Market SquarePE19 2AR,01480 474061,info@adlams.co.uk, 01480 474959,: http://www.adlams.co.uk,492416
ADRIAN DAGGER,HO,St. Andrews HouseRH10 6AA,01293 403399,operations@sra.org.uk, 01293 403390,,270587
ADRIAN STICKLAND LIMITED,HO,Six WaysB24 8AA,0121 377 7773,operations@sra.org.uk, 0121 377 6621,,441825
ADVOCATES SOLICITORS,HO,6 Connaught RoadIG1 1QT,0208 553 5656,info@advocatessolicitors.co.uk, 0208 478 6650,: http://www.advocatessolicitors.co.uk,439132
AES WINTERBOTHAMS  LLP,HO,3-7 RowcroftGL5 3BJ,01453 847200,mail@aeswinterbothams.com, 01453 751997,: http://www.aeswinterbothams.com,484891
AES WINTERBOTHAMS  LLP,BRN,StokescroftGL6 0DZ,01453 832566,mail@aeswinterbothams.com, 01453 835441,: http://www.aeswinterbothams.com,495300
AFRIFA & PARTNERS,HO,36-38 Clapham RoadSW9 0JQ,020 7820 9177,operations@sra.org.uk, 020 7820 9266,,264062
AG AVVOCATI GATTO,HO,288 BishopsgateEC2M 4QP,2031708367,mail@ag-law.co.uk, 0208 082 5792,: http://www.ag-law.co.uk,470202
AGH  SOLICITORS,HO,126 St. Georges RoadBL1 2BZ,01204 36 44 33,ajhhussain@yahoo.co.uk, 01204 36 44 88,: http://www.aghsolicitors.co.uk,365303
AGH  SOLICITORS,BRN,145 Lea GateBL2 4BQ,1204594780,operations@sra.org.uk,,,513679
AGI LEGAL SOLICITORS,HO,10 Market StreetBL9 0AJ,0161 761 3638,info@agisolicitors.co.uk,,: http://www.agisolicitors.co.uk,519592
AHMADS' SOLICITORS,HO,Suite 38SW15 2PG,020 8788 1234,masood@ahmads-solicitors.com, 020 8788 1284,: http://www.ahmads-solicitors.com,472390
AHMED & CO,HO,67a Camden High StreetNW1 7JL,020 7383 2243,mail@ahmedco.com, 020 7383 2166,: http://www.ahmedco.com,266414
AIDAN WOODS & CO,HO,238 Stapleton RoadBS5 0NT,0117 952 2006,enquiries@aidanwoods.co.uk, 0117 935 4115,: http://www.aidanwoods.co.uk,72419
AITKEN LAW,HO,Shernfold Meadow CottageTN3 9EH,01892 750049,neil.aitken@aitkenlaw.co.uk, 01892 750049,,513779
AKERMANS,HO,Whitley HouseBN11 3JP,01903 820413,worthing@akermanssolicitors.co.uk, 01903 230075,,62410
AKERMANS,BRN,33 West StreetRH20 4EB,01903 745353,storrington@akermanssolicitors.co.uk, 01903 743310,,62411
ALAN AMBRIDGE SOLICITOR,HO,45 Henry Tate MewsSW16 3HA,0208 835 8287,alan@ambridge8287.fsnet.co.uk,,,312802
ALAN EDWARDS & CO,HO,192-196 Campden Hill RoadW8 7TH,020 7221 7644,reception@aelaw.co.uk, 020 7243 1076,: http://www.aelaw.co.uk,49165
ALAN HARRIS,HO,12 Queen Anne TerracePL4 8EG,1752223655,office@alanharris-solicitors.co.uk,1752601081,,62467
ALAN WILSON SOLICITORS,HO,Lynnwood Business CentreNE4 6UL,0191 273 2555,a.wilsonsolicitors@btconnect.com, 0191 226 0876,,490740
ALASDAIR WATSON & CO,HO,139 Oakfield RoadNE16 5RZ,0191 488 4521,awatson@elaw.org.uk, 0191 488 7082,,191572
ALASTAIR BATEMAN & CO,HO,First Floor OfficesBD1 2QR,01274 739 973,operations@sra.org.uk, 01274 745 504,,224629
ALB LAW,HO,33 Hoghton StreetPR9 0NS,01704 500 771,alb@alblaw.co.uk, 01704 500 303,: http://www.alblaw.co.uk,440868
ALBIN & CO,HO,46a West StreetRG1 1TZ,0118 957 4018,chrisalbin@acsolicitors.co.uk, 0118 950 751,,524968
ALBIN HUNT & STEIN,HO,29 Weymouth StreetW1G 7DB,0207 637 0483,operations@sra.org.uk, 0207 637 4190,,69543
ALDERSON DODDS,HO,4-8 Stanley StreetNE24 2BU,01670 352293,aldersondodds@aldersondodds.co.uk, 01670 354166,: http://www.aldersondodds.co.uk,61457
ALDRIDGE BROWNLEE SOLICITORS LLP,HO,13 Christchurch RoadBH1 3JY,01202 294411,operations@sra.org.uk, 01202 295944,: http://www.aldridgebrownlee.co.uk,484890
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,89 Wimborne RoadBH3 7AW,01202 526343,operations@sra.org.uk, 01202 530875,: http://www.aldridgebrownlee.co.uk,484902
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,912 Wimborne RoadBH9 2DJ,01202 527008,operations@sra.org.uk, 01202 532848,: http://www.aldridgebrownlee.co.uk,484903
ALDRIDGE BROWNLEE SOLICITORS LLP,BRN,277 Lymington RoadBH23 5EB,01425 282150,operations@sra.org.uk, 01425 282110,,484916
ALETTA SHAW LTD,HO,Suites A & BDA6 7DP,020 8301 4884,enquiries@alettashaw.co.uk, 0208 301 3477,: http://www.alettashaw.co.uk,329732
ALEXANDER & CO,HO,7 Foregate StreetWR1 1DB,01905 29333,alexanderco@tiscali.co.uk, 01905 27195,: http://www.alexanderco.co.uk,46019
ALEXANDER & PARTNERS,HO,28 Craven Park RoadNW10 4AB,020 8965 7121,mail.alexander@btconnect.com, 020 8965 1524,,46020
ALEXANDER COUSINS CRIMINAL DEFENCE SOLICITORS,HO,Aspect CourtLS1 2NL,0113 394 4175,simonalex@bt.connect.com, 0113 394 4176,: http://www.alexandersolicitors.com,365700
ALEXANDER HAIGH & CO,HO,10 Queens RoadCM14 4HE,01277 216320,markhaigh10@hotmail.com, 01277 200910,,370892
ALEXANDER JOHNSON,HO,246 Bethnal Green RoadE2 0AA,020 7739 1563,tony@alexander-johnson.co.uk, 020 7729 9326,: http://www.alexanderjohnson.co.uk,367972
ALEXANDER JOHNSON,BRN,7-8 Albert RoadE16 2DW,020 7739 1563,operations@sra.org.uk, 020 7729 9326,: http://www.alexander-johnson.co.uk,368934
ALEXANDER MARKS LLP,HO,55 Queen Anne StreetW1G 9JR,020 7317 1166,cavi@amlaw.co.uk, 020 7224 1474,: http://www.amlaw.co.uk,445226
ALEXANDER SOLICITORS LIMITED,HO,80 Dunstable RoadLU1 1EH,01582 727 888,legal@alexandersolicitors.co.uk, 01582 728 004,: http://www.alexandersolicitors.co.uk,512539
ALEXANDER SOLICITORS LIMITED,BRN,146 Midland RoadLU2 0BL,01582 727888,legal@alexandersolicitors.co.uk, 01582 728004,: http://www.alexandersolicitors.co.uk,525012
ALEXANDROU & CO,HO,Francis HouseEN5 5RN,020 8447 1503,alexandrou@lawyersonline.co.uk, 020 8449 2830,,491302
ALFRED JAMES & CO SOLICITORS LLP,HO,406A Brighton RoadCR2 6AN,020 8681 4627,solicitors@alfred-james.com, 020 8681 8281,: http://www.alfred-james.com,473566
ALFRED NEWTON & CO,HO,49-51 Wellington Road SouthSK1 3RX,0161 480 1245,mail@alfrednewton.com, 0161 429 9316,: http://www.alfrednewton.com,58753
ALFRED NEWTON & CO,BRN,32 Alderley RoadSK9 1JX,01625 523647,operations@sra.org.uk, 01625 522068,,58754
ALFRED NEWTON & CO,BRN,231 George LaneSK6 1DJ,0161 430 8831,operations@sra.org.uk, 0161 430 6636,,58755
ALFRED TRUMAN,BRN,10 Market SquareMK18 1NJ,01280 822217,rcorner@btconnect.com, 01280 813269,,512383
ALI & CO,HO,19a WestgateHD1 1NP,01484 517 887,operations@sra.org.uk, 01484 517 883,,385945
ALI & CO,BRN,22 Easby RoadBD7 1QX,01274 391 197,aliandco@btconnect.com, 01274 735 425,,408600
ALISTAIR HARPER & CO,HO,Broadway ChambersRH16 3AB,01444 457890,enquiries@alistairharper.co.uk, 01444 451455,: http://www.alistairharper.co.uk,80119
ALLANSONS,HO,25 Chorley Old RoadBL1 3AD,01204 363663,advice@allansons.com, 01204 389398,,77580
ALLEN HOOLE SOLICITORS,HO,5 Portland SquareBS2 8RR,0117 9420901,lawyers@allenhoole.co.uk, 0117 9423180,: http://www.allenhoolesolicitors.co.uk,462128
ALLEN TICEHURST,HO,The StudioRH19 3BL,01342 310600,info@allen-ticehurst.co.uk, 01342 410020,: http://www.allen-ticehurst.co.uk,284535
ALLENS,HO,2 St. Marys StreetNR35 1AX,01986 893928,office@allens-solicitors.co.uk, 01986 875775,,46072
ALLENS,BRN,55 ThoroughfareIP19 8AR,01986 875246,office@allens-solicitors.co.uk, 01986 875775,,46073
ALLERTON KAYE,HO,Callmate HouseBD5 0AX,01274 379840,info@allertonkaye.com, 01274 379841,,385251
ALLETSONS LIMITED,HO,8 Castle StreetTA6 3DB,01278 456621,info@alletsons.co.uk, 01278 452494,: http://www.alletsons.co.uk,485301
ALLIANCE SOLICITORS,HO,595 Kenton RoadHA3 9RT,020 8206 3530,pp@alliance-solicitors.com, 020 8204 4972,: http://www.alliance-solicitors.com,420328
ALLINGTON HUGHES,BRN,Newgate WalkCH1 1JU,01244 312166,enquiries@allingtonhughes.co.uk, 01244 348876,: http://www.allingtonhughes.co.uk,46081
ALMY & THOMAS LIMITED,HO,71 Abbey RoadTQ2 5NL,01803 299131,enquiries@almythomas.co.uk, 01803 200399,: http://www.almythomas.co.uk,427890
ALOMO SOLICITORS,HO,Victoria RoadRM1 2LX,01708 766 822,mail@alomosolicitors.co.uk, 01708 766 899,: http://www.alomosolicitors.co.uk,402495
ALSTERS KELLEY,HO,Hamilton HouseCV32 4LY,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0299,: http://www.alsterskelley.com,70372
ALSTERS KELLEY,BRN,3 Dugdale StreetCV11 5QJ,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0399,: http://www.alsterskelley.com,345741
ALSTERS KELLEY,BRN,1 Manor TerraceCV1 2NU,0844 561 0100,enquiries@alsterskelley.com, 0844 561 0199,: http://www.alsterskelley.com,384860
ALTAF SOLICITORS,HO,227 Manningham LaneBD8 7HH,01274 400405,info@altafsolicitors.co.uk, 01274 400342,,490202
AMAL SOLICITORS LIMITED,HO,1 King Cliff RoadHD2 2RR,01484 431999,info@amalsolicitors.co.uk, 01484 731 888,: http://www.amalsolicitors.co.uk,492165
AMAN SOLICITORS ADVOCATES (LONDON) LTD,HO,295 Harrow RoadHA9 6BD,0208 782 3776,operations@sra.org.uk, 0208 782 3778,: http://www.amansolicitors.co.uk,463069
AMBER SOLICITORS LLP,HO,171 High StreetHU1 1NE,01482 216799,admin@ambersolicitors.co.uk, 01482 216 077,: http://www.ambersolicitors.co.uk,490102
AMICUS SOLICITORS AND ADVOCATES,HO,Powlett HouseTA1 3PN,01823 353111,info@amicuslaw.co.uk, 01823 353444,,388120
AMICUS SOLICITORS AND ADVOCATES,BRN,9 Parkhouse RoadTA24 8AB,01643 701888,andrew.bensley@amicuslaw.co.uk, 01643 704183,: http://www.amicuslaw.co.uk,469720
AMICUS SOLICITORS AND ADVOCATES,BRN,Sedgemoor Auction CentreTA6 6DF,01278 664060,info@amicuslaw.co.uk, 08442 098525,: http://www.amicuslaw.co.uk,523676
AMICUS SOLICITORS LLP,HO,761 Wilmslow RoadM20 6RN,0161 434 4448,enquiries@amicussolicitors.co.uk, 0161 434 4449,: http://www.amicussolicitors.co.uk,448482
AMIRTHAN & SURESH SOLICITORS,HO,150a Ealing RoadHA0 4PY,020 8903 7211,amirthanandsuresh@hotmail.co.uk, 020 8795 4056,,76329
AMOSU ROBINSHAW SOLICITORS,HO,Charter HouseCR0 2RE,0208 688 2573,dipali@amosurobinshaw.co.uk, 0208 760 9239,,367159
AMPHLETT LISSIMORE,HO,Greystoke HouseSE19 3AF,020 8771 5254,enquiries@amphlettlissimore.co.uk, 020 8771 9276,: http://www.amphlettlissimore.co.uk,71099
AMR SOLICITORS,HO,Craneshaw HouseTW3 1DA,020 8622 3783,amr.solicitors@gmail.com, 020 8622 3784,,489010
AMS SOLICITORS LIMITED,HO,WentworthPR2 9LF,01772 653 333,ars@amssolicitors.co.uk, 01772 653 443,: http://www.amssolicitors.co.uk,498537
ANAMI LAW,HO,Griffins Wood HouseCM16 5HT,01992 579 413,info@anami-law.eu, 01992 579 513,: http://www.anami-law.eu,447457
ANAMI LAW INCOPORATING HUGHES & CO,BRN,186 Hutton RoadCM15 8NR,01277 226644,operations@sra.org.uk, 01277 224228,,470382
ANAMI LAW INCOPORATING KIRKWOODS,BRN,51 High RoadWD23 1EE,020 8950 1155,operations@sra.org.uk,,,519521
ANDERSON & CO SOLICITORS,HO,6 Mortimer StreetCH41 5EU,0151 647 1500,dawnjones@andersonco-law.com, 0151 647 1900,,466693
ANDERSON REEVES SOLICITORS,HO,5A New StreetB23 6SD,0800 01415 29,nm@andersonreeves.com, 0121 382 7548,: http://www.andersonreeves.com,508447
ANDERSONS SOLICITORS,HO,Regent HouseHG1 1JX,01423 527852,andersons-sol@btconnect.com, 01423 527 677,,71696
ANDREW & CO LLP,HO,1 Flavian RoadLN2 4GR,01522 512123,info@andrew-solicitors.co.uk, 01522 518 913,: http://www.andrew-solicitors.co.uk,470433
ANDREW & CO LLP,BRN,33 Kirk GateNG24 1AD,01636 673743,armitage@andrew-solicitors.co.uk, 01636 705506,: http://www.andrew-solicitors.co.uk,470450
ANDREW CAMPBELL & CO SOLICITORS,HO,Room 3.7HP1 1LD,01442 355215,operations@sra.org.uk, 01442 355001,,388705
ANDREW GROVE & COMPANY,HO,11 Norfolk StreetCB1 2LD,01223 367133,katherine@andrewgroveandco.com, 01223 323817,: http://www.andrewgroveandco.com,519160
ANDREW J FENNY & CO,HO,3-4 Dudley CourtNE23 6QW,01670 737393,info@andrewfenny.co.uk, 01670 730606,,67256
ANDREW JACKSON,HO,Essex HouseHU1 1XH,01482 325242,rob.penrose@andrewjackson.co.uk, 01482 212974,: http://www.andrewjackson.co.uk,51781
ANDREW KEEN SOLICITOR,HO,1 Cemetery RoadPE7 1SF,01733 351332,operations@sra.org.uk, 01733 351332,,303295
ANDREW KEENAN & CO,HO,Nickleby HouseSE20 8RE,020 8659 0332,law@andrewkeenan.co.uk, 020 8659 3689,: http://www.andrewkeenan.co.uk,79072
ANDREW MCCOOEY & CO,HO,3 London RoadME10 1NQ,01795 470686,amccooey@aol.com, 01795 424497,: http://www.mccooey.org,63341
ANDREW STORCH,HO,7 Barrington WayRG1 6EG,0118 958 4407,storch@freenet.co.uk, 0118 958 4407,: http://www.andrewstorch.co.uk,209979
ANDREW THOMPSON & CO,HO,Aspect CourtLS1 2NL,0113 383 5314,andrew@agtlaw.co.uk, 0113 383 5315,: http://www.agtlaw.co.uk,423703
ANDREW WEBB,HO,Windsor HouseBS3 1LL,0117 953 8408,awebb.lawchambers@blueyonder.co.uk, 0117 953 1059,,75753
ANDREWS ANGEL SOLICITORS LIMITED,HO,1st FloorIG1 1DS,020 8911 9289,info@andrewsangel.co.uk, 020 8911 9258,: http://www.andrewsangel.co.uk,469918
ANDREWS ANGEL SOLICITORS LIMITED,BRN,Second FloorDH1 3NU,0191 370 9890,info@andrewsangel.co.uk, 0191 374 1425,: http://www.andrewsangel.co.uk,469919
ANDREWS MCQUEEN,HO,Lorne Park HouseBH1 1JJ,01202 290628,law@andrews-mcqueen.co.uk, 01202 551188,,73784
ANGELA PORTER SOLICITORS,HO,10b Oxford RoadOX5 1AA,01865 841 414,mail@angelaportersolicitors.com, 01865 841 515,,407443
ANGELA TAYLOR CRIMINAL SOLICITORS,HO,851-853 Stockport RoadM19 3PW,0161 256 2233,angelamtaylor1@aol.com, 0161 256 2244,,304290
ANITA LEAKER SOLICITOR,HO,49 Spencer StreetCA1 1BB,01228 521 383,operations@sra.org.uk, 01228 818 169,,407456
ANJORIN SOLICITORS,HO,Mentmore HouseBR5 3QF,01689 891192,solicitor@anjorinsolicitors.co.uk, 01689 890967,: http://www.anjorinsolicitors.co.uk,519379
ANN BLYTH-COOK AND CO,HO,Southchurch ChambersSS1 2RE,01702 462999,reception@annblythcookandco.com, 01702 462988,,283128
ANN GIBBON & CO,HO,62 Crown RoadTW1 3EH,0208 891 2707,anngibbon@f25.com, 0208 891 2707,,523588
ANNE WOODCOCK & CO,HO,20 London RoadAL1 1NP,01727 861212,annew@annewoodcock.co.uk, 01727 864966,,288282
ANSAH SOLICITORS,HO,2nd FloorSE27 9DL,0208 766 5836,hilda9954@hotmail.com, 0208 766 5854,,399356
