Name,Office,Address,Telephone,,,,,
ASB LAW,HO,Innovis HouseRH10 1AS,01293 603603,,crawley@asb-law.com, 01622 656 690,: http://www.asb-law.com,309894
ASB LAW,BRN,Horizon HouseME14 3EN,01622 656500,,maidstone@asb-law.com, 01622 656690,,309898
ASB LAW,BRN,18 London RoadRH12 1AY,01403 246800,,horsham@asb-law.com, 01403 246838,,309899
ASB LAW,BRN,95 Queens RoadBN1 3XE,01273 828000,,brighton@asb-law.com, 01273 828082,,309900
ASB LAW,BRN,44-46 Old SteineBN1 1NH,01273 229900,,operations@sra.org.uk, 01273 220025,,523423
ASCOT LAWYERS,HO,Summit HouseRG12 2XH,01344 783890,,mary.knowlson@ascotlawyers.co.uk, 01344 783891,: http://www.ascotlawyers.co.uk,516580
ASHFORDS LLP,HO,Ashford HouseEX1 3LH,01392 337 000,,info@ashfords.co.uk, 01392 337 001,: http://www.ashfords.co.uk,508761
ASHFORDS LLP,BRN,Gotham HouseEX16 6LT,01884 203000,,info@ashfords.co.uk, 01884 203 001,: http://www.ashfords.co.uk,512002
ASHFORDS LLP,BRN,Blackbrook Park AvenueTA1 2PX,01823 284 444,,info@ashfords.co.uk, 01823 232 301,: http://www.ashfords.co.uk,512005
ASHFORDS LLP,BRN,Princess CourtPL1 2EX,01752 521500,,info@ashfords.co.uk, 01752 526 001,: http://www.ashfords.co.uk,512006
ASHFORDS LLP,BRN,Bull WharfBS1 6QR,0117 321 8000,,operations@sra.org.uk, 0117 321 8001,: http://www.ashfords.co.uk,512013
ASHFORDS LLP,BRN,1 Northumberland AvenueWC2N 5BW,0208 938 6323,,info@ashfords.co.uk, 0208 938 6995,: http://www.ashfords.co.uk,512014
ASHMANS SOLICITORS,HO,First FloorWF13 1DQ,01924 501717,,info@ashmanssolicitors.com, 01924 501407,: http://www.ashmanssolicitors.com,498800
ASHTON MORTON SLACK LLP,HO,35-47 North Church StreetS1 2DH,1142752888,,info@ashtonmortonslack.co.uk,1142730108,: http://www.ashtonmortonslack.co.uk,440453
ASHURST LLP,HO,Broadwalk HouseEC2A 2HA,020 7638 1111,,operations@sra.org.uk, 020 7638 1112,: http://www.ashurst.com,468653
ASSERSON LAW OFFICES,BRN,First FloorW1S 1SU,0207 199 3773,,info@asserson.co.uk,,,486878
ASSOCIATED LEGALS LIMITED,HO,785 Rochdale RoadM9 5XD,0161 205 3955,,enquiries@kaufmanlegal.co.uk, 0161 203 5559,: http://www.kaufmanlegal.co.uk,406253
AST HAMPSONS,HO,128 Yorkshire StreetOL16 1LA,01706 653322,,ptaylor@asthampsons.co.uk, 01706 641432,: http://www.asthampsons.co.uk,73449
AST HAMPSONS,BRN,337 Hollinwood AvenueM40 0JA,0161 681 1169,,dtaylor@asthampsons.co.uk, 0161 683 5712,: http://www.asthampsons.co.uk,73450
AST HAMPSONS,BRN,21-23 Knowsley StreetBL9 0ST,0161 763 1000,,bury@asthampsons.co.uk, 0161 763 1978,: http://www.asthampsons.co.uk,73453
AST HAMPSONS,BRN,7 South ParadeOL16 1LR,01706 522311,,law@asthampsons.co.uk, 01706 861326,: http://www.asthampsons.co.uk,342180
ASTON BOND LLP,HO,135-137 High StreetSL1 1DN,01753 486 777,,info@astonbond.co.uk, 01753 517180,: http://www.astonbond.co.uk,441185
ASTON BOND LLP,BRN,10 Southern CourtRG1 4QS,0118 959 6031,,operations@sra.org.uk, 0118 957 5238,,441187
ASTON CARTER SOLICITORS,HO,14 Springfield RoadB13 9NY,0121 778 6666,,info@astoncartersolicitors.com, 0121 778 4655,: http://www.astoncartersolicitors.com,510496
ATHI LAW LLP,HO,388 High StreetB70 9LB,0121 553 5555,,m_athi@hotmail.com, 0121 553 5553,,532986
ATLANTIC LAW LLP,HO,1 Great Cumberland PlaceW1H 7AL,020 7616 2888,,solicitors@atlantic-law.com, 020 7616 2880,: http://www.atlantic-law.com,422306
ATTICUS SOLICITORS LIMITED,HO,1st Floor  Leeds HouseST5 1PS,01782 629 840,,admin@atticussolicitors.co.uk, 01782 628 325,,508265
AZZOPARDI & CO,HO,5th floorWC2R 3JL,020 7353 6060,,justice@azzlaw.com, 020 7353 2525,: http://www.azzlaw.com,291792
BACKHOUSE JONES LIMITED,HO,The PrintworksBB7 9WD,01254 828300,,enquiries@backhouses.co.uk, 01254 828301,: http://www.backhousejones.co.uk,408098
BAILEY NICHOLSON GRAYSON,HO,Unit 15  Bourne CourtIG8 8HD,0208 418 2900,,mail@bnglaw.co.uk, 0208 418 2901,: http://www.bnglaw.co.uk,285415
BAINS COHEN SOLICITORS LLP,HO,61a East StreetIG11 8EJ,020 8252 7373,,info@bainscohen.com, 020 8252 7793,: http://www.bainscohen.com,462404
BAINS COHEN SOLICITORS LLP,BRN,Central HouseN3 1LQ,0208 252 7373,,info@bainscohen.com, 0208 252 7793,: http://www.bainscohen.com,488086
BAKER & MCKENZIE LLP,HO,100 New Bridge StreetEC4V 6JA,020 7919 1000,,operations@sra.org.uk, 020 7919 1999,: http://www.bakernet.com,421456
BAKERS SOLICITORS,HO,89 High Street WestSK13 8BB,01457 859 123,,enquiries@bakers-solicitors.com, 01457 859 093,: http://www.bakers-solicitors.com,365974
BAL DHALIWAL SOLICITORS,HO,St. Peters HousePE1 1YE,01733 552000,,bdsolicitors@btconnect.com, 01733 554000,,365111
BALSARA & CO. LTD,HO,Fourth FloorEC1N 2HA,0207 797 6300,,apatel@balsara.co.uk, 0207 797 6301,: http://www.balsara.co.uk,486405
BAND HATTON LLP,HO,1 Copthall HouseCV1 2FY,02476 632121,,operations@sra.org.uk, 02476 229038,: http://www.bandhatton.co.uk,498411
BANKSIDE COMMERCIAL LIMITED,HO,Thames HouseSE1 0AS,0207 654 0200,,ingrid@banksidelaw.net, 0207 654 0221,: http://www.banksidecommercial.com,389506
BANKSIDE LAW LIMITED,HO,Thames HouseSE1 0AS,020 7654 0225,,john.williams@banksidelaw.com, 020 7928 3155,: http://www.banksidelaw.com,345348
BANNER JONES LIMITED,HO,24 GlumangateS40 1UA,01246 560 560,,jeh@bannerjones.co.uk, 01246 220 390,: http://www.bannerjones.co.uk,493083
BANNER JONES LIMITED,BRN,3rd FloorS1 2GY,01142 755 266,,operations@sra.org.uk, 01142 759 786,: http://www.bannerjones.co.uk,493132
BANNER JONES LIMITED,BRN,Marsden ChambersS40 1JY,01246 209 773,,operations@sra.org.uk, 01246 231 188,: http://www.bannerjones.co.uk,493134
BANNER JONES LIMITED,BRN,1 Sheffield RoadS18 2DH,01246 414 438,,operations@sra.org.uk, 01246 414 430,,493159
BANNER JONES LIMITED,BRN,4 Cotton StreetS44 6HA,01246 827 516,,operations@sra.org.uk, 01246 562 080,: http://www.bannerjones.co.uk,493160
BANNER JONES LIMITED,BRN,95 High StreetS45 9DZ,01246 861 250,,operations@sra.org.uk, 01246 861 232,: http://www.bannerjones.co.uk,493161
BARK & CO,HO,14 New Bridge StreetEC4V 6AG,020 7353 1990,,office@barkco.com, 0207 3531880,: http://www.barkco.com,260885
BARKER GILLETTE LLP,HO,11-12 Wigmore PlaceW1U 2LU,0207 636 0555,,operations@sra.org.uk, 0207 323 3950,: http://barkergillette.com,422305
BARLOW LYDE & GILBERT LLP,HO,Beaufort HouseEC3A 7NJ,020 7247 2277,,operations@sra.org.uk, 020 7071 9000,: http://www.blg.co.uk,462715
BARLOW LYDE & GILBERT LLP,BRN,4420 Nash CourtOX4 2RU,01865 336600,,operations@sra.org.uk, 01865 336611,: http://www.blg.co.uk,462716
BARLOW LYDE & GILBERT LLP,BRN,Chancery PlaceM2 2JT,0161 829 6400,,operations@sra.org.uk, 0161 829 6401,,518957
BARRICELLA  HUGHES  SOLICITORS,HO,20 ButtermarketIP1 1BP,01473 226 225,,info@bhsolicitors.demon.co.uk, 01473 215 828,,421657
BASSETS,HO,156 High StreetME1 1ET,01634 400161,,info.roch@bassetssolicitors.co.uk, 01634 408251,: http://www.bassetssolicitors.co.uk,61006
BASSETS,BRN,33-35 Balmoral RoadME7 4QB,01634 575464,,info.gill@bassettssolicitors.co.uk, 01634 576516,: http://www.bassetssolicitors.co.uk,61007
BASTIAN LLOYD MORRIS LLP,HO,Unit 7 Sovereign CourtMK9 2HP,01908 546580,,jab@blmsolicitors.co.uk, 01908 546589,,468590
BATES WELLS & BRAITHWAITE LONDON LLP,HO,2-6 Cannon StreetEC4M 6YH,020 7551 7777,,mail@bwbllp.com, 020 7551 7800,: http://www.bwbllp.com,465497
BAXENDALE VANZIE,HO,Prescott HouseHX1 2LG,01422 380 200,,baxendalevanzie@hotmail.com, 01422 380 208,,364328
BAXTER BROWN MCARTHUR,HO,Suite 23SW15 2PG,0208 788 4360,,office@bbmlaw.co.uk, 0208 789 8353,,423094
BAZELEY BARNES & BAZELEY,HO,24 Bridgeland StreetEX39 2QB,01237 473122,,psims@bazeleys.co.uk, 01237 421531,,46778
BCL BURTON COPELAND,HO,51 Lincoln's Inn FieldsWC2A 3LZ,020 7430 2277,,law@bcl.com, 020 7430 1101,: http://www.bcl.com,344985
BEACHCROFT LLP,HO,100 Fetter LaneEC4A 1BN,0207 242 1011,,jfowler@beachcroft.com, 0207 831 6630,: http:// www.beachcroft.com,440774
BEACHCROFT LLP,BRN,Nine BrindleyplaceB1 2HE,0121 698 5200,,operations@sra.org.uk, 0121 698 5290,: http://www.beachcroft.co.uk,441018
BEACHCROFT LLP,BRN,7 Park Square EastLS1 2LW,0113 251 4700,,operations@sra.org.uk, 0113 251 4900,: http://www.beachcroft.com,441029
BEACHCROFT LLP,BRN,30 EastcheapEC3M 1HD,020 7208 6800,,operations@sra.org.uk, 020 7208 6801,: http://www.beachcroft.com,441030
BEACHCROFT LLP,BRN,St. Anns HouseM2 7LP,0161 934 3000,,operations@sra.org.uk, 0161 934 3288,: http://www.beachcroft.com,441033
BEACHCROFT LLP,BRN,Winton HouseSO23 8BW,01962 705 500,,operations@sra.org.uk, 01962 705 510,: http://www.beachcroft.com,441034
BEACHCROFT LLP,BRN,Fountain HouseLS1 5QX,0113 251 4700,,operations@sra.org.uk, 0113 251 4900,: http://www.beachcroft.com,441037
BEACHCROFT LLP,BRN,Portwall PlaceBS1 6Na,0117 918 2000,,operations@sra.org.uk, 0117 918 2100,: http://www.beachcroft.com,441059
BEACHCROFT LLP,BRN,PO Box 1234NE99 4SN,0191 404 4000,,operations@sra.org.uk, 0191 404 4100,: http://www.beachcroft.com,496460
BEAUMONDE LAW PRACTICE,HO,Evans HouseHA5 5PA,0208 429 6733/ 6731,,blp_solicitors@hotmail.co.uk, 0208 429 6732,: http://www.beaumonde-law.co.uk,462672
BEDELL  CRISTIN LONDON PARTNERSHIP,BRN,11 Old JewryEC2R 8DU,,,operations@sra.org.uk,,,465003
BEDFORDS SOLICITORS,HO,194 Dunstable RoadLU4 8JJ,01582 519 736,,mail@bedfordssolicitors.co.uk, 01582 519737,: http://www.bedfordssolicitors.co.uk,388914
BEETENSON & GIBBON,HO,Lauriston HouseDN31 1JB,01472 240251,,info@bgsolicitors.com, 01472 241728,: http://www.bgsolicitors.com,46831
BELL LAMB & JOYNSON,HO,Ground FloorWA7 2FT,08444 124348,,runcorn@bljsolicitors.co.uk, 01928 711709,: http://www.bljsolicitors.co.uk,403618
BELL LAMB & JOYNSON,BRN,39 Walton ValeL9 4ST,08444 124348,,walton@bljsolicitors.co.uk, 0151 474 8468,: http://www.bljsolicitors.co.uk,403619
BELL LAMB & JOYNSON,BRN,26 High StreetCW8 3HB,08444 124348,,law@blj-weaverham.co.uk, 01606 854090,: http://www.bljsolicitors.co.uk,403754
BELL LAX SOLICITORS,HO,New Bank HouseB72 1QL,0121 355 0011,,mail@belllax.com, 0121 355 0099,: http://www.belllax.com,192948
BELMORES,HO,Mall ChambersNR1 3DX,01603 499999,,info@belmores.co.uk, 01603 499998,: http://www.belmores.co.uk,46890
BERESFORDS SOLICITORS LLP,HO,QuaypointDN4 5PL,01302 329655,,operations@sra.org.uk, 01302 732755,: http://www.beresfords.com,368545
BERG LEGAL,HO,35 Peter StreetM2 5BG,0161 833 9211,,help@berg.co.uk, 0161 834 5566,: http://www.berg.co.uk,46978
BERMANS LLP,HO,Lancaster HouseL2 2QP,0151 224 0500,,info@bermans.co.uk, 0151 236 2107,: http://www.bermans.co.uk,440596
BERNARD CHILL & AXTELL,HO,24 The AvenueSO17 1XL,023 8022 8821,,admin@bcasol.co.uk, 023 8021 1300,: http://www.bcasol.co.uk,44982
BERNARD CHILL & AXTELL,BRN,103 Leigh RoadSO50 9ZQ,023 8061 3197,,admin@bcasol.co.uk, 023 8061 2559,: http://www.bcasol.co.uk,44983
BERNARD CHILL & AXTELL,BRN,8a Carlton CrescentSO15 2EZ,023 8022 8821,,admin@bcasol.co.uk, 023 8020 5288,: http://www.bcasol.co.uk,482849
BERRI'S,HO,Research HouseUB6 7AQ,020 8537 3377,,seema@berrissolicitors.co.uk, 0208 537 3424,,368647
BERRYMANS LACE MAWER LLP,HO,Kings HouseM3 2NU,0161 236 2002,,info@blm-law.com, 0161 832 7956,: http://www.blm-law.com,499736
BERRYMANS LACE MAWER LLP,BRN,Salisbury HouseEC2M 5QN,0207 638 2811,,info@blm-law.com, 0207 920 0361,: http://www.blm-law.com,510103
BERRYMANS LACE MAWER LLP,BRN,63 Temple RowB2 5LS,0121 643 8777,,info@blm-law.com, 0121 643 4909,: http://www.blm-law.com,510104
BERRYMANS LACE MAWER LLP,BRN,4th Floor  Park Row HouseLS1 5JF,0113 236 2002,,info@blm-law.com, 0113 244 2002,: http://www.blm-law.com,510106
BERRYMANS LACE MAWER LLP,BRN,Castle ChambersL2 9SU,0151 236 2002,,info@blm-law.com, 0151 236 2585,: http://www.blm-law.com,510111
BERRYMANS LACE MAWER LLP,BRN,Charlotte PlaceSO14 0TB,023 8023 6464,,info@blm-law.com, 023 8023 6117,: http://www.blm-law.com,510112
BERRYMANS LACE MAWER LLP,BRN,Innovation HouseTS18 3TN,01642 661 630,,info@blm-law.com, 01642 661 631,: http://www.blm-law.com,510115
BERWIN LEIGHTON PAISNER LLP,BRN,St Magnus HouseEC3R 6HA,0207 760 1000,,operations@sra.org.uk, 0207 760 1111,,426875
BETTS AND CO SOLICITORS LIMITED,HO,9 North StreetTN24 8LF,01233 380 222,,info@bettssol.co.uk, 01233 643 463,: http://www.bettsandco.co.uk,499734
BEVAN BRITTAN LLP,HO,Kings OrchardBS2 0HQ,0870 194 1000,,info@bevanbrittan.com, 0870 194 1001,: http://www.bevanbrittan.com,406315
BEVAN BRITTAN LLP,BRN,Fleet Place HouseEC4M 7RF,0870 194 1000,,info@bevanbrittan.com, 0870 194 7800,: http://www.bevanbrittan.com,406346
BEVAN BRITTAN LLP,BRN,Interchange PlaceB3 2TA,0870 194 5000,,info@bevanbrittan.com, 0870 194 5001,: http://www.bevanbrittan.com,406347
BEYNON & CO,HO,259 Alcester Road SouthB14 6DT,0121 444 0099,,gbeynonsolicitors@hotmail.com, 0121 444 3001,,405253
BHATIA BEST,HO,12 Carrington StreetNG1 7FF,0115 950 3231,,nottingham@bhatiabest.co.uk, 0115 941 3169,: http://www.solicitors-nottingham.co.uk,76500
BHATIA BEST,BRN,39 West GateNG18 1RX,01623 427944,,info@bhatiabest.co.uk, 01623 427955,: http://www.solicitors-nottingham.co.uk,223993
BINDMANS LLP,HO,275 Gray's Inn RoadWC1X 8QB,0207 833 4433,,info@bindmans.com, 0207 837 9792,: http://www.bindmans.com,484856
BINGHAM MCCUTCHEN (LONDON) LLP,HO,41 LothburyEC2R 7HF,0207 661 5300,,operations@sra.org.uk, 0207 661 5400,: http://www.bingham.com,328388
BIRCHLEY TITMUS COMMERCIAL SOLICITORS,HO,Charlecombe LodgeSL5 9QT,020 7408 9427,,operations@sra.org.uk, 020 7408 9417,,524766
BIRCHLEY TITMUS COMMERCIAL SOLICITORS,BRN,16 Hanover SquareW1S 1HT,020 7408 9427,,operations@sra.org.uk, 020 7408 9417,,533408
BIRD & BIRD LLP,HO,15 Fetter LaneEC4A 1JP,0207 415 6000,,london@twobirds.com, 0207 415 6111,: http://www.twobirds.com,497264
BIRDS SOLICITORS,HO,1 Garratt LaneSW18 2PT,020 8874 7433,,info@birds.eu.com, 020 8870 4770,: http://www.birds.eu.com,329690
BIRKETTS LLP,HO,24-26 Museum StreetIP1 1HZ,01473 232300,,mail@birketts.co.uk, 01473 230524,: http://www.birketts.co.uk,441849
BIRKETTS LLP,BRN,KINGFISHER HOUSENR3 1UB,01603 756400,,mail@birketts.co.uk, 01603 230533,: http://www.birketts.co.uk,441886
BIRKETTS LLP,BRN,Daedalus HouseCB1 2RE,01223 326600,,mail@birketts.co.uk, 01223 326629,: http://www.birketts.co.uk,484544
BISCOES,BRN,42 High StreetPO12 1DF,023 9251 2030,,operations@sra.org.uk, 023 9251 2031,,425251
BISHOP & LIGHT SOLICITORS LIMITED,HO,Cambridge HouseBN3 3ED,01273 732733,,law@bishopandlight.co.uk, 01273 749436,: http://www.bishopandlight.co.uk,486954
BISHOP & LIGHT SOLICITORS LIMITED,BRN,171 Edward StreetBN2 0JB,01273 626288,,operations@sra.org.uk, 01273 676717,,486955
BISHOP & LIGHT SOLICITORS LIMITED,BRN,Highlight HouseBN21 3UH,01323 434822,,operations@sra.org.uk, 01323 646121,,486956
BIVONAS LAW LIMITED,HO,24 CornhillEC3V 3ND,0207 337 2600,,info@bivonas.com, 0207 337 2601,: http://www.bivonas.com,267576
BIVONAS LLP,HO,24 CornhillEC3V 3ND,0207 337 2600,,info@bivonas.com, 0207 337 2601,: http://www.bivonas.com,511114
BK SOLICITORS LIMITED,HO,Crown HouseB12 9RG,0121 440 1881,,skhalil@bksolicitors.com, 0121 440 1991,,471991
BLACK & CO,HO,14 Wood StreetLE9 7ND,01455 844005,,operations@sra.org.uk, 01455 851434,,70655
