Name,Office,Address,Telephone,Email,Fax,WebSite,Id
BANCE COMMERICAL LAW,HO,7 The FairwaysRH1 6LP,1737226034,info@bancelaw.com,8704606898, http//www.bancelaw.com,349155
BANNER JONES LIMITED,HO,24 GlumangateS40 1UA,01246 560 560,jeh@bannerjones.co.uk, 01246 220 390, http//www.bannerjones.co.uk,493083
BANNER JONES LIMITED,BRN,3rd FloorS1 2GY,01142 755 266,operations@sra.org.uk, 01142 759 786, http//www.bannerjones.co.uk,493132
BANNER JONES LIMITED,BRN,Marsden ChambersS40 1JY,01246 209 773,operations@sra.org.uk, 01246 231 188, http//www.bannerjones.co.uk,493134
BANNER JONES LIMITED,BRN,1 Sheffield RoadS18 2DH,01246 414 438,operations@sra.org.uk, 01246 414 430,,493159
BANNER JONES LIMITED,BRN,4 Cotton StreetS44 6HA,01246 827 516,operations@sra.org.uk, 01246 562 080, http//www.bannerjones.co.uk,493160
BANNER JONES LIMITED,BRN,95 High StreetS45 9DZ,01246 861 250,operations@sra.org.uk, 01246 861 232, http//www.bannerjones.co.uk,493161
BARGATE MURRAY,HO,5th FloorEC2A 3NF,+44 (0) 20 7375 1393,info@bargatemurray.com, +44 (0) 20 7392 9529, http//www.bargatemurray.com,402555
BARLOW LYDE & GILBERT LLP,HO,Beaufort HouseEC3A 7NJ,020 7247 2277,operations@sra.org.uk, 020 7071 9000, http//www.blg.co.uk,462715
BARLOW LYDE & GILBERT LLP,BRN,4420 Nash CourtOX4 2RU,01865 336600,operations@sra.org.uk, 01865 336611, http//www.blg.co.uk,462716
BARLOW LYDE & GILBERT LLP,BRN,Chancery PlaceM2 2JT,0161 829 6400,operations@sra.org.uk, 0161 829 6401,,518957
BARLOW ROBBINS LLP,HO,The OrielGU1 3SR,01483 562901,enquiries@barlowrobbins.com, 01483 464260, http//www.barlowrobbins.com,441926
BARLOW ROBBINS LLP,BRN,55-56 Quarry StreetGU1 3UE,1483543200,guilford@barlowrobbins.com,1483573325, http//www.barlowrobbins.com,441936
BARLOW ROBBINS LLP,BRN,30 Church StreetGU7 1EP,01483 417121,godalming@barlowrobbins.com, 01483 426836, http//www.barlowrobbins.com,441939
BARLOW ROBBINS LLP,BRN,Concord HouseGU21 6HJ,01483 748500,woking@barlowrobbins.com, 01483 729933, http//www.barlowrobbins.com,441941
BARNETT ALEXANDER CONWAY INGRAM LLP,HO,Sovereign HouseN3 1QB,0208 349 7680,info@bacisolicitors.co.uk, 0208 346 8245, http//www.bacisolicitors.co.uk,488698
BARRATT LEGAL,HO,NorthwoodBR7 5PY,0208 305 9794,rbarratt@barrattlegal.com, 0208 305 9794, http//www.barrattlegal.com,493289
BATCHELOR MYDDELTON,HO,Brosnan HouseEN6 1BW,01707 647 088,enq@batchelor-myddelton.co.uk, 01707 647704, http//www.batchelor-myddelton.co.uk,290212
BATES WELLS & BRAITHWAITE LONDON LLP,HO,2-6 Cannon StreetEC4M 6YH,020 7551 7777,mail@bwbllp.com, 020 7551 7800, http//www.bwbllp.com,465497
BATTENS SOLICITORS LIMITED,HO,Mansion HouseBA20 1EP,01935 846000,webenquiry@battens.co.uk, 01935 846001, http//www.battens.co.uk,79486
BATTENS SOLICITORS LIMITED,BRN,26 St. Thomas StreetDT4 8EJ,01305 774666,operations@sra.org.uk, 01305 760423, http//www.battens.co.uk,422864
BATTENS SOLICITORS LIMITED,BRN,The Bank HouseDT9 3BU,01935 814811,operations@sra.org.uk, 01935 816436, http//www.battens.co.uk,422865
BATTENS SOLICITORS LIMITED,BRN,42 High West StreetDT1 1UU,01305 250560,operations@sra.org.uk, 01305 260876, http//www.battens.co.uk,422866
BEACHCROFT LLP,HO,100 Fetter LaneEC4A 1BN,0207 242 1011,jfowler@beachcroft.com, 0207 831 6630, http// www.beachcroft.com,440774
BEACHCROFT LLP,BRN,Portwall PlaceBS1 6Na,0117 918 2000,operations@sra.org.uk, 0117 918 2100, http//www.beachcroft.com,441059
BEALE AND COMPANY SOLICITORS LLP,HO,Garrick HouseWC2E 8JB,020 7240 3474,reception@beale-law.com, 020 7240 9111, http//www.beale-law.com,408246
BELLS,HO,11 South StreetGU9 7QX,01252 733733,mail@bells-solicitors.co.uk, 01252 723718, http//www.bells-solicitors.co.uk,46885
BERG LEGAL,HO,35 Peter StreetM2 5BG,0161 833 9211,help@berg.co.uk, 0161 834 5566, http//www.berg.co.uk,46978
BERMANS LLP,HO,Lancaster HouseL2 2QP,0151 224 0500,info@bermans.co.uk, 0151 236 2107, http//www.bermans.co.uk,440596
BERMANS LLP,BRN,Cardinal HouseM3 2LY,0161 827 4600,info@bermans.co.uk, 0161 834 2402, http//www.bermans.co.uk,440597
BERRY SMITH LLP,BRN,1 Northumberland AvenueWC2N 5BW,0845 6038337,smoore@berrysmith.com, 0845 6034524, http//www.berrysmith.com,468004
BERRYMAN SHACKLOCK LLP,HO,Park HouseNG1 6DN,0845 310 7200,legal@berrymanshacklock.co.uk, 0845 310 7210, http//www.berrymanshacklock.co.uk,400083
BERRYMANS LACE MAWER LLP,HO,Kings HouseM3 2NU,0161 236 2002,info@blm-law.com, 0161 832 7956, http//www.blm-law.com,499736
BERWIN LEIGHTON PAISNER LLP,HO,Adelaide HouseEC4R 9HA,0207 760 1000,operations@sra.org.uk, 0207 760 1111, http//www.blplaw.com,426866
BERWIN LEIGHTON PAISNER LLP,BRN,St Magnus HouseEC3R 6HA,0207 760 1000,operations@sra.org.uk, 0207 760 1111,,426875
BERWINS SOLICITORS LIMITED,HO,2 North Park RoadHG1 5PA,01423 509 000,law@berwin.co.uk, 01423 722 562, http//www.berwin.co.uk,510280
BEVAN BRITTAN LLP,HO,Kings OrchardBS2 0HQ,0870 194 1000,info@bevanbrittan.com, 0870 194 1001, http//www.bevanbrittan.com,406315
BEVAN BRITTAN LLP,BRN,Fleet Place HouseEC4M 7RF,0870 194 1000,info@bevanbrittan.com, 0870 194 7800, http//www.bevanbrittan.com,406346
BEVAN BRITTAN LLP,BRN,Interchange PlaceB3 2TA,0870 194 5000,info@bevanbrittan.com, 0870 194 5001, http//www.bevanbrittan.com,406347
BEVAN KIDWELL,HO,113-117 Farringdon RoadEC1R 3BX,020 7843 1820,bk@bevankidwell.com, 020 7278 4685, http//www.bevankidwell.com,192564
BINDMANS LLP,HO,275 Gray's Inn RoadWC1X 8QB,0207 833 4433,info@bindmans.com, 0207 837 9792, http//www.bindmans.com,484856
BIRCHAM & CO NOMINEES LIMITED,HO,50 BroadwaySW1H 0BL,020 7227 7000,enquirieslondon@bdb-law.co.uk, 020 7222 3480, http//www.bdb-law.co.uk,204848
BIRCHAM DYSON BELL LLP,HO,50 BroadwaySW1H 0BL,020 7227 7000,operations@sra.org.uk, 020 7222 3480, http//www.bdb-law.co.uk,448617
BIRCHLEY TITMUS COMMERCIAL SOLICITORS,HO,Charlecombe LodgeSL5 9QT,020 7408 9427,operations@sra.org.uk, 020 7408 9417,,524766
BIRCHLEY TITMUS COMMERCIAL SOLICITORS,BRN,16 Hanover SquareW1S 1HT,020 7408 9427,operations@sra.org.uk, 020 7408 9417,,533408
BIRD & BIRD LLP,HO,15 Fetter LaneEC4A 1JP,0207 415 6000,london@twobirds.com, 0207 415 6111, http//www.twobirds.com,497264
BIRKETTS LLP,HO,24-26 Museum StreetIP1 1HZ,01473 232300,mail@birketts.co.uk, 01473 230524, http//www.birketts.co.uk,441849
BIRKETTS LLP,BRN,KINGFISHER HOUSENR3 1UB,01603 756400,mail@birketts.co.uk, 01603 230533, http//www.birketts.co.uk,441886
BIRKETTS LLP,BRN,Daedalus HouseCB1 2RE,01223 326600,mail@birketts.co.uk, 01223 326629, http//www.birketts.co.uk,484544
BISHOP & SEWELL LLP,HO,46 Bedford SquareWC1B 3DP,020 7631 4141,mail@bishopandsewell.co.uk, 020 7636 5369, http//www.bishopandsewell.co.uk,443824
BLACKBOURN & BOND LIMITED,HO,12 BelmontSY1 1TE,01743 233255,dwight@blackbournbond.co.uk, 01743 233117, http//www.blackbournbond.co.uk,424038
BLACKETT HART & PRATT LLP,HO,Westgate HouseDL3 0PZ,01325 466794,info@bhplaw.co.uk, 01325 376509, http//www.bhplaw.co.uk,442870
BLAKE LAPTHORN,HO,Harbour CourtPO6 4ST,023 9222 1122,info@bllaw.co.uk, 023 9222 1123, http//www.bllaw.co.uk/,448793
BLAKE LAPTHORN,BRN,New Kings CourtSO53 3LG,023 809 08090,info@bllaw.co.uk, 023 809 08092, http//www.bllaw.co.uk/,448832
BLAKE LAPTHORN,BRN,Seacourt TowerOX2 0FB,01865 248607,infor@bllaw.co.uk, 01865 244983, http//www.bllaw.co.uk/,448859
BLAKE LAPTHORN,BRN,Watchmaker Court WestEC1M 4DB,020 7405 2000,info@bllaw.co.uk, 020 7814 9421, http//www.bllaw.co.uk/,448868
BLAKELEY SOLICITORS,HO,2 Sowden GrangeBD13 3TH,01274 831 141,sblakeley@btinternet.com, 01274 831 140,,524475
BLANDY & BLANDY LLP,HO,1 Friar StreetRG1 1DA,0118 951 6800,reception@blandy.co.uk, 0118 951 6813, http//www.blandy.co.uk,520336
BLASER MILLS,HO,Park HouseHP11 1BZ,01494 450171,legal@blasermills.co.uk, 01494 441815, http//www.blasermills.co.uk,191469
BLASER MILLS,BRN,33 Red Lion StreetHP5 1DN,01494 782291,legal@blasermills.co.uk, 01494 773970, http//www.blasermills.co.uk,191471
BLASER MILLS,BRN,52 High StreetWD3 1AJ,01923 776211,legal@blasermills.co.uk, 01923 775148, http//www.blasermills.co.uk,191472
BLASER MILLS,BRN,1 Cambridge StreetHP20 1RP,01296 434416,legal@blasermills.co.uk, 01296 436615, http//www.blasermills.co.uk,191473
BLASER MILLS,BRN,12 College RoadHA1 1JF,020 8427 6262,legal@blasermills.co.uk, 0208 427 0116, http//www.blasermills.co.uk,191474
BLASER MILLS INCORPORATING FANCY & JACKSON,BRN,19 High StreetTW18 4QY,01784 462511,operations@sra.org.uk,,,523327
BLUE SKY LAW LIMITED,HO,Pall Mall CourtM2 4PD,0161 618 1032,s.gaunt@blueskylaw.co.uk, 0161 618 1130, http//www.blueskylaw.co.uk,468333
BOBBETTS MACKAN,HO,17 Berkeley SquareBS8 1HB,0117 929 9001,info@bobbetts.com, 0117 922 5697, http//www.bobbetts.co.uk,70535
BOLITHO WAY,HO,13-18 Kings TerracePO5 3AL,023 9288 2001,office@bolithoway.com, 023 9286 2831, http//www.bolithoway.com,47357
BOLITHO WAY,BRN,13 Union StreetPO33 2DU,01983 817060,enquiries@bolithoway.com, 01983 614776, http//www.bolithoway.com,497678
BOLT BURDON,HO,Providence HouseN1 0NT,020 7288 4700,info@boltburdon.co.uk, 020 7288 4701, http//www.boltburdon.co.uk,382061
BONALLACK & BISHOP,HO,Rougemont HouseSP1 1LY,01722 422300,salisbury@bishopslaw.com, 01722 422121, http//www.bishopslaw.com,76483
BOND PEARCE LLP,HO,3 Temple Back EastBS1 6DZ,0845 415 0000,info@bondpearce.com, 0845 415 6900, http//www.bondpearce.com,420640
BOND PEARCE LLP,BRN,Ballard HousePL1 3AE,0845 415 0000,info@bondpearce.com, 0845 415 7900, http//www.bondpearce.com,420693
BOND PEARCE LLP,BRN,Darwin HouseEX1 1LA,0845 415 0000,info@bondpearce.com, 0845 415 5200, http//www.bondpearce.com,420695
BOND PEARCE LLP,BRN,Oceana HouseSO15 1GA,0845 415 0000,info@bondpearce.com, 0845 415 8200, http//www.bondpearce.com,420696
BOND PEARCE LLP,BRN,8th FloorEC3R 7LP,0845 415 0000,info@bondpearce.com, 0845 415 6200, http//www.bondpearce.co.,420697
BORNEOS LLP,HO,77-97 Harpur StreetMK40 2SY,01234 353 221,mail@borneos.co.uk, 01234 353 808, http//www.borneos.co.uk,419644
BOTSOFF,HO,1 Heath StreetNW3 6TP,0207581 0665,victoria@botsoff.com,, http//www.botsoff.com,496033
BOYES TURNER,HO,Abbots HouseRG1 3BD,0118 959 7711,mail@boyesturner.com, 0118 957 3257, http//www.boyesturner.com,47511
BPE SOLICITORS LLP,HO,St. James' HouseGL50 3PR,01242 224433,bpe@bpe.co.uk, 01242 574285, http//www.bpe.co.uk,520350
BPL SOLICITORS LIMITED,HO,Mey HouseDT1 3QY,0844 2252061,info@bplaw.co.uk, 0844 2252062, http//www.bplaw.co.uk,408174
BRABNERS CHAFFE STREET LLP,HO,Horton HouseL2 3YL,0151 600 3000,operations@sra.org.uk, 0151 227 3185, http//www.brabnerschaffestreet.com,420634
BRABNERS CHAFFE STREET LLP,BRN,55 King StreetM2 4LQ,0161 836 8800,operations@sra.org.uk, 0161 836 8801, http//www.brabnerschaffestreet.com,421058
BRABNERS CHAFFE STREET LLP,BRN,7-8 Chapel StreetPR1 8AN,01772 823921,operations@sra.org.uk, 01772 201918, http//www.brabnerschaffestreet.com,421059
BRACHER RAWLINS LLP,HO,Fox CourtWC1X 8HN,020 7404 9400,brlaw@bracherrawlins.co.uk, 020 7404 9401, http//www.bracherrawlins.co.uk,447047
BRACHERS  LLP,BRN,81 London RoadME16 0DU,01622 690091,info@brachers.co.uk, 01622 681430, http//www.brachers.co.uk,488063
BRACHERS LLP,HO,Somerfield HouseME16 8JH,01622 690691,info@brachers.co.uk, 01622 681430, http//www.brachers.co.uk,488062
BRADLEY AND JEFFERIES SOLICITORS LIMITED,HO,58 Friar GateDE1 1DF,01332 221722,info@bradleyandjefferies.co.uk, 01332 221727, http//www.bradleyandjefferies.co.uk,425593
BRANDSWORTH,HO,28 Gillespie RoadN5 1LN,07919 575 020,tim.marshall@brandsworth.co.uk, 08700 417 589, http//www.brandsworth.co.uk,444233
BRETHERTONS LLP,HO,16 Church StreetCV21 3PW,01788 579579,enquiries@brethertons.co.uk, 01788 570949, http//www.brethertons.co.uk,437696
BRETHERTONS LLP,BRN,26 Regent StreetCV21 2PS,01788 551611,operations@sra.org.uk, 01788 551597,,437698
BRETHERTONS LLP,BRN,The Robbins BuildingCV21 2SD,01788 579579,operations@sra.org.uk, 01788 552888,,437699
BRETHERTONS LLP,BRN,Strathmore HouseOX16 4QD,01295 270999,enquiries@brethertons.co.uk, 01295 257575, http//www.brethertons.co.uk,437700
BRIAN DREWITT,HO,1 Levens RoadSK7 5DL,0845 260 0855,brian.drewitt@briandrewitt.co.uk, 0870 051 1232, http//www.briandrewitt.co.uk,284645
BRIFFA,HO,Business Design CentreN1 0QH,020 7288 6003,briffa@briffa.com, 020 7288 6004, http//www.briffa.com,79875
BRIGHTLAW LIMITED,HO,4 Longlands SpinneyBN14 9NU,03456 522 201,alex@brightlaw.biz, 03456 522 201, http//www.brightlaw.biz,516677
BRISTOWS,HO,100 Victoria EmbankmentEC4Y 0DH,020 7400 8000,info@bristows.com, 020 7400 8050, http//www.bristows.com,44205
BRM SOLICITORS,HO,Gray CourtS40 1LD,01246 555111,post@brmlaw.co.uk, 01246 554411, http//www.brmlaw.co.uk,73284
BROOKE NORTH LLP,HO,Crown HouseLS1 3BR,0113 297 9000,info@brookenorth.co.uk, 0113 283 3999, http//www.brookenorth.co.uk,439527
BROOKE NORTH LLP,BRN,Heron PlaceW1U 3QG,0870 120 8336,saf@brookenorthllp.co.uk, 0870 120 8337,,439530
BROWNE JACOBSON LLP,HO,44 Castle GateNG1 7BJ,0115 976 6000,INFO@BROWNEJACOBSON.COM, 0115 947 5246, http//WWW.BROWNEJACOBSON.COM,401163
BROWNE JACOBSON LLP,BRN,Victoria Square HouseB2 4BU,0121 237 3900,birmingham@brownejacobson.com, 0121 236 1291, http//www.brownejacobson.com,401164
BROWNE JACOBSON LLP,BRN,77 Gracechurch StreetEC3V 0AS,020 7337 1000,lon@brownejacobson.com, 020 7929 1724, http//www.brownejacobson.com,401165
BROWNE JACOBSON TRUSTEES LIMITED,HO,44 Castle GateNG1 7BJ,0115 976 6000,operations@sra.org.uk, 0115 947 5246,,76540
BRUNSWICK COMPANY SECRETARIES LTD,HO,Harbour CourtPO6 4ST,02392 221 122,operations@sra.org.uk, 02392 221 123,,520141
BRYAN CAVE,HO,88 Wood StreetEC2V 7AJ,0203 207 1100,operations@sra.org.uk, 0203 207 1881, http//www.bryancave.com,72291
BUCKLES SOLICITORS LLP,HO,Grant HousePE1 1NG,01733 888888,enquiries@buckles-law.co.uk, 01733 888999, http//www.buckles-law.co.uk,419965
